name,phone,cpf,sexo,state,city
Dr. Enzo Gabriel Pereira,(011) 9919-2606,087.532.649-83,F,('AL', 'Alagoas'),Araújo
Sofia Barbosa,+55 21 5317 9399,741.320.865-26,M,('MT', 'Mato Grosso'),Moreira do Galho
Ana Cavalcanti,+55 (071) 6216 4731,097.284.351-50,M,('MS', 'Mato Grosso do Sul'),da Costa
Maria Alice Araújo,+55 41 3904-6477,235.861.047-07,F,('MS', 'Mato Grosso do Sul'),Cardoso
Davi Lucca Porto,0300-772-2904,563.470.219-43,F,('ES', 'Espírito Santo'),Barbosa do Amparo
Sr. Enzo Gabriel Nogueira,+55 (081) 2905-6951,136.075.482-26,M,('RN', 'Rio Grande do Norte'),Santos do Oeste
Isabel Dias,+55 (071) 0848-5993,471.953.862-28,M,('MA', 'Maranhão'),Pereira das Flores
Pietra Moura,11 2885 8299,230.681.457-08,F,('PR', 'Paraná'),Ferreira
Giovanna Souza,+55 (081) 4385-6768,164.908.523-06,F,('PE', 'Pernambuco'),da Conceição
João Pedro Costa,+55 21 2341 4585,431.968.072-31,F,('PB', 'Paraíba'),Rodrigues da Serra
Olivia Dias,(071) 6537-5405,780.195.234-05,M,('PI', 'Piauí'),Lima de Castro
João Vitor Dias,(021) 2431-9092,493.028.675-10,F,('TO', 'Tocantins'),Mendes das Flores
Dr. Luiz Henrique Almeida,(011) 3590 2131,137.294.086-31,M,('SC', 'Santa Catarina'),da Conceição
Ana Luiza Nascimento,+55 81 6511 1954,475.103.892-32,F,('RO', 'Rondônia'),Pinto
Vitória da Rosa,(031) 2506 8005,098.674.512-01,M,('AC', 'Acre'),Barbosa de Pereira
Lorena Moura,(081) 9477-3841,549.038.726-29,M,('AP', 'Amapá'),Martins Alegre
Bernardo da Cunha,(051) 5644-2781,265.130.984-24,F,('MT', 'Mato Grosso'),Costa
Maysa Moraes,+55 (041) 9559-1931,371.046.925-25,F,('AP', 'Amapá'),Ribeiro Verde
Eduardo Ribeiro,21 7037 0514,465.230.187-17,M,('PE', 'Pernambuco'),Azevedo Grande
Clara Pinto,(071) 7470 6242,496.015.273-70,M,('PB', 'Paraíba'),Rocha
Dr. Luiz Felipe Silva,41 2531 5334,925.834.107-41,M,('AL', 'Alagoas'),Novaes
Benjamin Gonçalves,(061) 1961 2239,079.316.584-93,M,('PR', 'Paraná'),Monteiro
Calebe Alves,21 5412-1129,613.089.247-04,F,('ES', 'Espírito Santo'),Moraes
Augusto Fernandes,+55 (084) 2949 3622,615.234.870-62,M,('AP', 'Amapá'),da Cunha de Nogueira
Sofia Ribeiro,41 6718 9170,675.143.028-08,F,('PE', 'Pernambuco'),Rocha
Lucca Pinto,(061) 3460-7403,765.109.823-40,M,('BA', 'Bahia'),Moreira do Campo
Sra. Rebeca Novaes,(021) 2704-4238,653.102.748-71,F,('SP', 'São Paulo'),Castro de Cardoso
Dr. Felipe Silveira,+55 84 2703-2798,680.147.923-78,M,('GO', 'Goiás'),Jesus do Norte
Sr. Daniel Cardoso,(041) 0595-2778,460.715.238-26,F,('AP', 'Amapá'),Campos
Beatriz Martins,(041) 2028-2617,436.218.079-69,M,('AL', 'Alagoas'),Jesus
Letícia Sales,(021) 3954-3577,308.192.475-88,F,('SC', 'Santa Catarina'),Santos de Teixeira
João da Luz,+55 (041) 7450-4372,502.376.419-25,M,('PE', 'Pernambuco'),Mendes Alegre
João Lucas Correia,+55 41 1964-8327,093.412.576-70,F,('AC', 'Acre'),Vieira
Srta. Maria Fernanda da Cruz,+55 (021) 9453-6495,832.061.475-90,F,('ES', 'Espírito Santo'),Sales Paulista
Joaquim Viana,(084) 7569 0609,370.842.651-71,M,('MG', 'Minas Gerais'),Castro
Rodrigo Pereira,(051) 5653 4051,023.796.451-16,M,('RO', 'Rondônia'),da Mata Verde
Breno Ferreira,+55 51 0352 7233,749.801.263-40,F,('RJ', 'Rio de Janeiro'),Pires do Galho
Sra. Emanuella Mendes,0800-384-9601,726.591.308-68,F,('AP', 'Amapá'),Santos
Dr. Diego Rodrigues,21 1933 8593,248.659.071-49,F,('PR', 'Paraná'),Araújo
Dr. Paulo Costa,(081) 9612 2448,981.052.637-77,F,('PA', 'Pará'),Cunha do Campo
Dra. Maysa Peixoto,(081) 7301-8539,609.423.587-83,F,('PB', 'Paraíba'),Correia
Isabella Martins,+55 84 5463 4567,236.401.975-34,F,('PR', 'Paraná'),Costela
Bryan Castro,+55 84 6775-6850,251.394.760-61,M,('SC', 'Santa Catarina'),Caldeira
Sra. Bianca Azevedo,61 7428 1140,507.461.832-08,F,('GO', 'Goiás'),Viana
Luiz Felipe Nascimento,(041) 5285-1169,859.320.476-74,F,('DF', 'Distrito Federal'),Caldeira do Campo
Manuela Sales,+55 (061) 1149-2980,023.481.975-88,F,('RJ', 'Rio de Janeiro'),Costa do Sul
Bianca da Rosa,(084) 4417 0925,716.824.359-46,M,('ES', 'Espírito Santo'),Monteiro de Rezende
Srta. Eduarda Correia,+55 (081) 8614 0802,109.364.285-89,F,('RN', 'Rio Grande do Norte'),da Conceição do Campo
Elisa da Luz,+55 (081) 6967-5664,314.852.970-79,M,('RN', 'Rio Grande do Norte'),Cardoso
Igor Vieira,(031) 2021-4116,285.679.134-46,M,('AC', 'Acre'),Nogueira
Matheus da Costa,(041) 3793-3322,027.381.694-22,F,('RO', 'Rondônia'),Novaes
Sra. Laura Nunes,+55 (061) 9970-3494,409.762.381-87,M,('PE', 'Pernambuco'),Teixeira de da Mata
Srta. Bárbara Moura,+55 (081) 5067-5303,754.306.928-83,F,('PE', 'Pernambuco'),Rezende
Arthur Moura,84 0034-1555,698.401.375-57,M,('RR', 'Roraima'),Cardoso
Yuri Moraes,71 9679 1074,186.527.930-77,M,('AL', 'Alagoas'),da Costa
Vitor Gabriel Lima,0500-673-3035,368.159.274-82,F,('AC', 'Acre'),Sales Alegre
Fernando da Cunha,+55 61 2565 4610,503.827.194-41,F,('RR', 'Roraima'),Peixoto do Campo
André Alves,84 8022 9453,963.541.708-00,F,('RN', 'Rio Grande do Norte'),da Luz
Maria Luiza Duarte,11 2980 8559,298.514.607-02,F,('SE', 'Sergipe'),Oliveira
Marcelo Ferreira,11 5644-8276,843.170.529-97,M,('PE', 'Pernambuco'),Lima da Prata
Bernardo da Mota,+55 (051) 3709 5369,695.380.471-84,M,('PI', 'Piauí'),Almeida
Levi Duarte,+55 (011) 3502-3547,860.347.125-80,M,('TO', 'Tocantins'),Nogueira
Ryan da Mata,41 3942 6274,395.281.467-91,M,('RO', 'Rondônia'),da Costa de Souza
Lara Freitas,+55 (031) 9565-3770,105.674.982-20,F,('RO', 'Rondônia'),Pereira
Pietra Carvalho,+55 84 1814-4881,024.953.761-34,M,('PB', 'Paraíba'),Peixoto
Dra. Lívia Barros,+55 41 1641-7228,612.085.394-42,F,('SC', 'Santa Catarina'),Teixeira
Isaac Pinto,+55 51 4277 9641,895.624.730-74,F,('DF', 'Distrito Federal'),Cavalcanti Verde
Carlos Eduardo Gonçalves,31 4313-2662,609.852.714-85,M,('AC', 'Acre'),Freitas
Pietro Pires,71 2102-9660,496.278.510-94,F,('PA', 'Pará'),da Mota
Daniel Gonçalves,+55 41 5816-2308,150.674.329-34,M,('AC', 'Acre'),Teixeira da Mata
Luiz Felipe Castro,31 2684 4375,081.597.342-04,F,('RN', 'Rio Grande do Norte'),Mendes de Teixeira
Pietro Barros,+55 (021) 8814 3945,356.749.021-43,M,('RN', 'Rio Grande do Norte'),Lima do Galho
Cecília Fernandes,(041) 1240 2887,798.261.345-46,M,('GO', 'Goiás'),Nogueira
Pedro Viana,+55 (031) 6514-9126,254.670.139-80,M,('RN', 'Rio Grande do Norte'),Souza de Nascimento
João Vitor Rezende,+55 (011) 9250-6188,219.503.746-61,M,('PE', 'Pernambuco'),Moraes
Maria Fernanda Freitas,+55 (061) 2315-3521,598.017.236-02,M,('BA', 'Bahia'),Duarte dos Dourados
Otávio Santos,+55 (031) 9652-3918,260.341.957-99,F,('PI', 'Piauí'),Barros
Sra. Catarina Porto,21 8994 0024,314.605.872-35,F,('DF', 'Distrito Federal'),Lima do Amparo
Sr. Yago Costa,+55 (011) 5256-6141,659.703.482-10,M,('AC', 'Acre'),da Rocha de Cardoso
Sarah Castro,+55 (081) 7650-9314,234.058.976-29,F,('GO', 'Goiás'),Barbosa de Nunes
Luiza Sales,+55 21 3075 7922,364.170.958-00,F,('RJ', 'Rio de Janeiro'),da Costa dos Dourados
João Gabriel da Costa,31 3202-0883,673.298.015-77,M,('PE', 'Pernambuco'),da Mota
Erick Dias,+55 (031) 0300 3818,346.278.519-28,M,('SE', 'Sergipe'),Alves
Heitor Ribeiro,(051) 0425-6097,204.893.615-60,F,('SP', 'São Paulo'),Cardoso de Goiás
Gabrielly Campos,21 1946-4373,982.463.701-03,M,('AP', 'Amapá'),Melo
Sra. Raquel Correia,0300 578 7819,697.452.381-55,M,('AP', 'Amapá'),Cavalcanti
Diego Costa,+55 (031) 7204-5213,706.245.893-74,F,('AL', 'Alagoas'),Nascimento Paulista
Sr. Lucas Viana,(031) 0111-6743,325.409.761-07,F,('RN', 'Rio Grande do Norte'),Peixoto Verde
Milena Cavalcanti,+55 (011) 1079 3810,782.196.403-40,M,('PA', 'Pará'),Gomes do Oeste
Maitê Ferreira,(031) 4020-8076,047.825.369-92,F,('DF', 'Distrito Federal'),Moreira da Prata
Kamilly Freitas,+55 51 5982 5810,950.138.642-24,F,('MS', 'Mato Grosso do Sul'),Mendes do Norte
Emanuelly Caldeira,41 6688 1930,012.438.659-89,M,('RR', 'Roraima'),Rocha
Pietra Alves,(051) 3226 7679,540.127.639-70,F,('AP', 'Amapá'),Fogaça
Helena Pereira,(011) 6600 9520,605.327.498-47,M,('MT', 'Mato Grosso'),Gomes
Alice da Mota,(041) 9965-5419,657.314.890-84,F,('RN', 'Rio Grande do Norte'),Gomes
Erick Cardoso,31 1832-4041,736.945.018-00,M,('AC', 'Acre'),da Rocha
Maria Cecília Campos,+55 (051) 5522-3465,149.056.382-24,F,('MS', 'Mato Grosso do Sul'),Freitas de Goiás
Srta. Maria Luiza Porto,84 3592-6306,689.231.504-60,M,('RJ', 'Rio de Janeiro'),Rezende
Stephany Araújo,(081) 1767-7267,527.941.083-79,M,('SE', 'Sergipe'),Teixeira da Mata
Maria Sophia Santos,0900 028 8688,045.182.693-06,F,('PE', 'Pernambuco'),Cunha de Dias
Antônio Correia,31 9213-5030,384.726.051-08,F,('PR', 'Paraná'),Correia
João Vitor Cavalcanti,11 1840 8651,713.560.284-62,F,('RN', 'Rio Grande do Norte'),Lima do Amparo
Sra. Clara Melo,+55 (041) 5457 5196,352.416.890-60,M,('RS', 'Rio Grande do Sul'),Aragão do Norte
Nicole Gonçalves,71 4755 5165,614.827.059-58,M,('GO', 'Goiás'),Porto
Lucas da Cunha,84 9912-0721,984.201.763-03,M,('RS', 'Rio Grande do Sul'),Lima
Sophie Pereira,(084) 7754-5951,314.680.925-70,F,('MT', 'Mato Grosso'),Jesus de Minas
Sr. Lucca Santos,(021) 5181 4952,284.061.375-17,F,('PB', 'Paraíba'),Vieira
Luiz Felipe Duarte,0800 469 0019,502.784.639-83,F,('MA', 'Maranhão'),Santos Paulista
Raquel da Conceição,(061) 2753-0335,941.205.783-05,F,('DF', 'Distrito Federal'),da Mata
Levi Aragão,41 7944 6785,412.973.805-41,F,('RR', 'Roraima'),Sales
Pedro Henrique Castro,+55 (051) 9210 0749,384.657.192-09,F,('AL', 'Alagoas'),Alves
Amanda Gonçalves,0500-173-7138,609.138.257-86,M,('TO', 'Tocantins'),da Cunha
Dra. Maria Sophia Ribeiro,+55 (084) 2493 0084,725.901.436-99,F,('AM', 'Amazonas'),Silva Paulista
Kevin Moraes,0900-766-8377,762.940.813-78,F,('PE', 'Pernambuco'),Fogaça de Azevedo
Maria Eduarda Cardoso,(051) 3471 5049,536.829.740-83,M,('PR', 'Paraná'),Ramos Verde
Theo da Luz,+55 (071) 5475 7870,245.069.381-51,M,('MS', 'Mato Grosso do Sul'),Moreira
João Jesus,(081) 2821 1722,589.347.620-47,M,('RS', 'Rio Grande do Sul'),da Cunha do Amparo
Augusto Teixeira,+55 (071) 6342 1913,197.654.802-02,F,('PE', 'Pernambuco'),Jesus
Thomas Ramos,31 9981-3287,547.698.302-38,F,('MG', 'Minas Gerais'),Nogueira
Isis Teixeira,(061) 5779 3996,526.704.819-49,F,('RO', 'Rondônia'),Ribeiro
Dr. Luiz Gustavo Rocha,+55 (051) 1939 8346,732.016.584-80,F,('PR', 'Paraná'),Mendes
Giovanna Lopes,71 6887-1981,594.623.087-56,F,('PA', 'Pará'),da Rosa
Ryan Cardoso,(061) 5321 7220,408.931.762-22,F,('MG', 'Minas Gerais'),Dias
Dra. Ana Julia Almeida,41 3263-5520,268.093.147-50,F,('MT', 'Mato Grosso'),Nascimento do Norte
Nicole Ferreira,+55 (041) 3676 7762,289.105.736-86,M,('AC', 'Acre'),Viana Paulista
Lorenzo Rocha,51 8859 7235,071.942.853-04,M,('GO', 'Goiás'),Oliveira
Caio Santos,(081) 2694 3791,837.592.604-38,M,('AP', 'Amapá'),Fogaça de Vieira
Emanuella Moura,+55 21 8687-8856,508.923.467-10,M,('MA', 'Maranhão'),Rodrigues
Bryan Vieira,(021) 5899-5173,921.468.735-82,F,('MG', 'Minas Gerais'),Castro de Freitas
Srta. Júlia Carvalho,61 9543 0271,371.609.852-30,M,('RS', 'Rio Grande do Sul'),Viana de Ramos
Renan Pereira,+55 61 2544 2787,903.872.541-88,M,('RO', 'Rondônia'),Correia da Prata
Renan Barbosa,51 9975 0287,829.510.376-86,M,('PB', 'Paraíba'),Pires
Stephany Santos,(051) 3485-0013,821.457.306-80,M,('RJ', 'Rio de Janeiro'),da Cruz da Praia
Miguel Pereira,(011) 6080-8808,421.986.073-87,M,('PI', 'Piauí'),Ramos
Calebe Freitas,41 0440 5918,806.295.473-00,F,('MS', 'Mato Grosso do Sul'),da Mata de Silveira
Lucca Lima,+55 (011) 2679 7056,412.680.395-51,F,('SC', 'Santa Catarina'),Almeida de Barbosa
Ana Luiza Porto,+55 (071) 9838 0510,018.456.293-70,M,('GO', 'Goiás'),Carvalho
Lucas Gonçalves,84 0662 6813,516.798.234-00,M,('PB', 'Paraíba'),Martins Paulista
Clarice Cardoso,41 1220 0638,439.570.821-88,M,('RJ', 'Rio de Janeiro'),Sales
Carolina Araújo,+55 31 7060-4071,069.748.513-75,M,('RR', 'Roraima'),Castro
Miguel Rocha,+55 11 8703 4917,812.379.045-79,M,('RJ', 'Rio de Janeiro'),Viana Grande
Danilo Teixeira,+55 31 6266 8562,218.354.790-14,M,('CE', 'Ceará'),Sales
João Vitor Viana,+55 84 1182 6846,860.413.279-13,M,('RR', 'Roraima'),Nascimento da Praia
Dr. Luiz Felipe Nascimento,+55 51 0777 8994,879.136.205-95,F,('AC', 'Acre'),da Rocha
Kevin Fogaça,+55 (071) 9457 8826,431.652.798-37,M,('MT', 'Mato Grosso'),Alves
Júlia Farias,+55 84 4313-9788,316.840.729-13,M,('CE', 'Ceará'),Viana do Norte
Augusto Pires,11 3065-8324,205.761.394-16,M,('RN', 'Rio Grande do Norte'),Cardoso das Pedras
Maria Lima,+55 (081) 3225-1916,582.106.943-24,M,('MT', 'Mato Grosso'),Campos Paulista
Luiz Felipe da Paz,+55 11 0360 8455,139.567.204-07,M,('AL', 'Alagoas'),Cavalcanti de Cardoso
Noah Mendes,71 5177-5156,723.146.089-50,F,('RJ', 'Rio de Janeiro'),Novaes do Norte
Bruna Silva,(021) 2569 1277,246.380.597-83,F,('BA', 'Bahia'),Peixoto
Yasmin Moura,+55 51 2551 5380,103.586.247-62,F,('PA', 'Pará'),Mendes
Srta. Julia Moreira,+55 (081) 8694-3910,594.861.302-05,F,('DF', 'Distrito Federal'),Oliveira de Rocha
Alice da Cruz,+55 (041) 4454-9076,160.582.473-90,F,('PA', 'Pará'),Nunes
Sr. Luiz Fernando Peixoto,+55 21 9370-5433,914.032.765-52,M,('SP', 'São Paulo'),da Cruz do Galho
Milena Fogaça,(051) 9629-7045,920.384.675-10,F,('MS', 'Mato Grosso do Sul'),Pinto das Pedras
Lorenzo Nascimento,(011) 2028 3766,654.370.182-07,F,('RO', 'Rondônia'),Freitas Alegre
Lucas Gabriel Vieira,(041) 0071-6856,657.201.489-49,M,('MT', 'Mato Grosso'),Cardoso de da Paz
Thiago Teixeira,+55 61 7863 9338,946.328.517-28,F,('PE', 'Pernambuco'),Rocha de Silva
Maria Sophia Nogueira,(071) 6851 8276,571.203.946-06,F,('PA', 'Pará'),Cardoso de Caldeira
André Barbosa,31 0181 8988,153.897.024-41,M,('AC', 'Acre'),da Luz
Samuel Viana,+55 51 2357 7147,765.924.130-34,M,('RJ', 'Rio de Janeiro'),Silveira do Norte
Dra. Clarice Dias,51 4318 4806,726.049.183-31,F,('AC', 'Acre'),Costa
Emilly Rezende,(021) 8801 9644,861.342.950-51,M,('PE', 'Pernambuco'),Costela de da Rocha
Sr. Pedro Henrique Monteiro,+55 61 1098 4949,754.016.283-07,M,('SE', 'Sergipe'),Silveira
Gustavo Henrique Dias,51 3147 2006,458.961.073-66,M,('AP', 'Amapá'),Araújo
Matheus Cardoso,+55 51 0442 2200,591.384.026-70,M,('AL', 'Alagoas'),Teixeira das Pedras
Maysa Pires,(071) 7470-8687,307.241.568-44,M,('AC', 'Acre'),Castro
Erick Teixeira,+55 (051) 3190-2208,150.487.962-76,F,('SE', 'Sergipe'),Moura
Juan Nogueira,+55 84 7752 7267,801.273.459-14,F,('AP', 'Amapá'),Nunes
Pedro Miguel Gomes,+55 (084) 2547 8039,817.693.502-68,M,('SE', 'Sergipe'),Ferreira
Alícia Correia,84 2476 2746,120.568.349-60,M,('MG', 'Minas Gerais'),Correia
Henrique da Rosa,0300-447-6593,810.725.493-79,F,('SC', 'Santa Catarina'),Pires das Pedras
Sr. Fernando Vieira,11 5619 2530,026.789.451-11,F,('RS', 'Rio Grande do Sul'),da Conceição da Mata
Isabella Nunes,+55 11 6008 9952,246.057.839-38,M,('MT', 'Mato Grosso'),Nogueira de Freitas
Maysa Pinto,(031) 3203-2934,710.245.396-52,F,('PR', 'Paraná'),Nogueira
Thiago Castro,+55 61 6522-7368,367.984.012-87,F,('RN', 'Rio Grande do Norte'),Costa do Norte
Maria Eduarda da Costa,(041) 5433 5178,041.985.673-01,M,('RJ', 'Rio de Janeiro'),Martins
Isaac da Cunha,(051) 6713-4342,035.916.742-06,M,('PB', 'Paraíba'),Porto
Maria Sophia Cavalcanti,11 2469 5696,267.034.819-03,M,('GO', 'Goiás'),Lima
Laís Campos,+55 31 0003 7482,907.365.214-61,F,('AL', 'Alagoas'),Rodrigues
Nathan da Luz,41 7712-5790,384.507.269-56,F,('AP', 'Amapá'),Moreira
Igor Ramos,+55 (031) 1051-3216,853.907.261-03,F,('RJ', 'Rio de Janeiro'),Rocha
Raul Souza,+55 84 2589 6733,403.169.728-78,M,('MT', 'Mato Grosso'),da Costa de Moraes
Bruna Moura,31 3852-0279,597.824.061-20,F,('PE', 'Pernambuco'),Ribeiro
Julia Rezende,31 4581 8579,087.312.965-21,F,('PE', 'Pernambuco'),da Conceição Grande
Samuel Peixoto,(021) 6016 6821,970.543.862-56,F,('PR', 'Paraná'),Porto da Serra
Sr. João Pedro Cardoso,(011) 2689 1463,847.635.091-01,F,('AM', 'Amazonas'),Costela de Vieira
Sra. Ana Duarte,+55 51 8462 3326,783.052.649-47,M,('ES', 'Espírito Santo'),da Paz de da Mata
Laura Castro,+55 (084) 6930-2965,624.897.301-69,F,('BA', 'Bahia'),Rodrigues
Gustavo Ribeiro,61 1737 1540,054.879.321-23,M,('GO', 'Goiás'),Moura
Elisa da Rosa,+55 (084) 2761-0644,063.549.281-42,F,('MG', 'Minas Gerais'),Rocha do Norte
Calebe da Conceição,+55 (041) 5356-4399,146.752.093-43,F,('PE', 'Pernambuco'),Freitas
Srta. Maria Eduarda Souza,+55 41 5084-5099,604.193.827-04,F,('RO', 'Rondônia'),da Rosa
Gustavo Henrique Peixoto,+55 (011) 9265-7358,879.210.643-96,F,('PI', 'Piauí'),Ramos
Natália Vieira,(031) 3024-4571,573.016.492-07,M,('SP', 'São Paulo'),Castro da Praia
Maria Eduarda Fogaça,+55 (071) 7546 4712,480.251.937-05,M,('SC', 'Santa Catarina'),Santos
Samuel Costela,71 2493-4712,158.973.042-97,M,('ES', 'Espírito Santo'),Silveira
Danilo Ferreira,0300-215-5033,175.384.960-84,M,('RR', 'Roraima'),Costela
Dr. Fernando Cunha,+55 41 2029 3487,350.982.147-50,M,('AP', 'Amapá'),da Cruz
Natália da Luz,+55 61 6979 8783,097.183.265-02,F,('AP', 'Amapá'),da Mata da Praia
Ana Clara da Rosa,71 4221 0565,605.248.913-89,F,('GO', 'Goiás'),Ferreira
Maria Julia Rocha,(031) 6944 2888,927.046.581-02,F,('CE', 'Ceará'),Vieira
Ana Laura Lopes,+55 41 0375 5491,582.734.190-88,M,('AC', 'Acre'),Moura de Minas
Maria Cecília Cavalcanti,71 9943 3084,387.042.195-97,M,('RS', 'Rio Grande do Sul'),Castro
Heitor Teixeira,+55 (051) 3189 9051,145.632.798-46,F,('RN', 'Rio Grande do Norte'),Peixoto do Norte
Marcelo Almeida,+55 31 5769 8407,980.265.374-83,M,('BA', 'Bahia'),Moraes da Mata
Alice Lima,+55 (011) 6466-2376,201.439.875-50,M,('SE', 'Sergipe'),da Conceição
Luiza da Mota,+55 71 8977 1088,176.340.852-35,F,('PR', 'Paraná'),da Conceição do Oeste
Alícia Cavalcanti,41 0517 0649,973.210.546-16,M,('GO', 'Goiás'),Pereira dos Dourados
Lívia Lopes,84 2250-6318,593.618.247-91,M,('AC', 'Acre'),Campos
Vicente Moura,11 8340 1954,360.945.817-84,F,('DF', 'Distrito Federal'),Novaes
Camila Melo,0800 692 5837,476.932.815-09,M,('SE', 'Sergipe'),Souza de Minas
Alice Castro,+55 21 1859-4702,673.495.218-55,M,('TO', 'Tocantins'),Barros do Norte
Sra. Maria da Mata,(011) 5298 6068,048.135.762-90,M,('RR', 'Roraima'),Rodrigues
Isadora Farias,+55 84 0909-1673,091.438.526-70,F,('PA', 'Pará'),Caldeira
Stephany Ramos,+55 84 2933 0402,652.470.183-62,F,('AC', 'Acre'),Caldeira
Davi Luiz Monteiro,+55 (071) 1403 5034,152.497.608-30,F,('AP', 'Amapá'),Pinto da Prata
Thiago da Costa,+55 81 2479-7959,601.298.745-58,F,('SE', 'Sergipe'),Ferreira
Eduardo Ferreira,+55 11 8590-6407,012.936.487-87,M,('PI', 'Piauí'),Porto
Mariane da Conceição,+55 (011) 8752 6512,614.859.370-00,F,('GO', 'Goiás'),Rodrigues
Srta. Letícia Porto,+55 (031) 0227 8738,495.271.360-16,F,('DF', 'Distrito Federal'),Pereira
Anthony Moura,(081) 2486-1837,072.963.841-31,M,('PI', 'Piauí'),Ferreira
Gabriel Almeida,(061) 8482 7750,649.180.723-13,M,('MS', 'Mato Grosso do Sul'),Cavalcanti
Maria Luiza Jesus,+55 (021) 5596-4182,402.376.851-08,F,('DF', 'Distrito Federal'),Cardoso
Bianca da Rocha,31 6877-6703,047.358.692-47,M,('PA', 'Pará'),Rodrigues das Flores
Augusto Ferreira,0800 761 8891,140.679.283-78,F,('AL', 'Alagoas'),Azevedo
Dr. Enzo Ferreira,+55 81 3141-1627,923.486.017-96,F,('ES', 'Espírito Santo'),Gomes de Dias
Maria Clara Silva,+55 31 6653 2463,753.092.864-38,F,('MS', 'Mato Grosso do Sul'),Dias
Maria da Luz,+55 (021) 6246 9115,231.870.694-87,M,('SC', 'Santa Catarina'),Teixeira
Alice Cunha,+55 81 3326-2725,940.762.318-13,F,('RO', 'Rondônia'),da Cunha Verde
Heitor Cardoso,+55 (041) 5801 2314,945.238.617-73,F,('PA', 'Pará'),Dias da Mata
João Lucas Rezende,(084) 0712-0618,671.509.842-58,F,('RJ', 'Rio de Janeiro'),Nogueira de Pires
Laís Fernandes,41 0846 2111,407.159.823-97,M,('AC', 'Acre'),Pires das Flores
Maria Vitória Ramos,+55 (051) 7323 9960,785.249.163-46,F,('AC', 'Acre'),Silveira
Bryan Pires,(061) 0362 8849,836.504.279-74,F,('SE', 'Sergipe'),Melo
Vitor Gabriel Rodrigues,84 4217-1154,856.912.043-51,F,('PA', 'Pará'),Porto
Milena Freitas,+55 84 5245-9680,346.071.958-39,M,('SC', 'Santa Catarina'),Rezende
Thomas das Neves,+55 (081) 2442 7922,396.752.840-56,F,('SC', 'Santa Catarina'),Barros do Galho
Ana Vitória Almeida,(051) 2870 0078,874.920.316-96,F,('PR', 'Paraná'),Azevedo de Rocha
Luigi da Mota,61 7737-4190,547.196.283-46,M,('SC', 'Santa Catarina'),Fernandes da Serra
João Vitor Cavalcanti,(071) 4132-8497,607.134.892-78,M,('TO', 'Tocantins'),Duarte do Amparo
Benício Monteiro,+55 (061) 2815-0860,841.376.209-03,F,('RS', 'Rio Grande do Sul'),Santos
Marcela Nogueira,+55 71 7785-0531,052.614.983-33,F,('GO', 'Goiás'),Freitas
Laís Moura,51 6324 8794,715.683.290-59,M,('AM', 'Amazonas'),da Mata das Flores
Agatha Rocha,+55 (031) 7324-5313,197.240.365-61,M,('PI', 'Piauí'),Ferreira da Mata
Alana Dias,21 2204 3552,274.361.859-00,M,('AC', 'Acre'),Dias
Bryan da Rocha,+55 51 9994 2729,623.184.970-87,M,('RJ', 'Rio de Janeiro'),Porto
Enzo Gabriel Costa,+55 11 7149 4091,654.107.982-01,F,('AP', 'Amapá'),Barbosa do Sul
Dr. Gustavo Henrique Porto,+55 21 4442 7383,307.692.145-25,M,('SP', 'São Paulo'),Santos
Thomas das Neves,+55 84 7287-5898,830.972.561-21,M,('SE', 'Sergipe'),da Rocha
Pedro Lucas Rezende,(081) 0104 5263,720.594.381-79,M,('MS', 'Mato Grosso do Sul'),Moraes
Sophia Cavalcanti,+55 41 8429 9320,293.504.786-92,M,('MS', 'Mato Grosso do Sul'),Ribeiro do Amparo
Murilo da Rosa,(084) 4617 9235,572.680.941-67,M,('SC', 'Santa Catarina'),da Costa do Norte
Ana Lívia Rezende,+55 (041) 6903 9464,341.097.562-43,F,('RN', 'Rio Grande do Norte'),Silveira
Murilo Rodrigues,+55 (031) 9778-5011,270.498.135-32,M,('RS', 'Rio Grande do Sul'),da Costa do Campo
Marina Rocha,0900 488 8265,586.942.731-28,F,('AL', 'Alagoas'),Nogueira do Amparo
Leonardo Farias,21 5226-3241,938.174.265-00,F,('PA', 'Pará'),Azevedo Grande
Sr. Yuri Ribeiro,+55 (041) 3623-6381,317.894.206-87,M,('CE', 'Ceará'),Cardoso
Francisco Santos,(021) 0104-5116,692.405.137-52,M,('AP', 'Amapá'),da Mata Grande
Srta. Evelyn Lima,+55 (041) 5223 6538,360.981.275-30,M,('TO', 'Tocantins'),Castro de Cunha
Agatha Costa,+55 71 3845-5376,792.563.480-47,M,('SP', 'São Paulo'),Mendes
Sophia Pereira,(081) 1001-2820,283.106.495-33,F,('RS', 'Rio Grande do Sul'),da Luz
João Lucas da Cruz,11 6902-3174,407.315.896-10,M,('MG', 'Minas Gerais'),Souza
Dra. Esther Caldeira,+55 71 1762 9509,915.846.732-73,F,('RR', 'Roraima'),da Paz Verde
Sophia Pires,+55 (061) 7097 3835,603.924.517-43,M,('SP', 'São Paulo'),Freitas
Alexandre da Luz,71 0488 6067,317.045.298-32,M,('PA', 'Pará'),da Paz
Dra. Ana Sophia das Neves,+55 21 2398 7336,836.501.497-10,F,('SP', 'São Paulo'),da Luz do Galho
João Vitor da Rocha,+55 (021) 4832 8776,109.782.654-67,F,('PR', 'Paraná'),da Paz
